Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Yulia KICHAPOVA POSITION,Yulia KICHAPOVA LAP TIME,Yulia KICHAPOVA ELAPSED TIME
1,7.42,7.42,3,7.80,7.80,2,7.58,7.58,4,8.08,8.08
1,9.86,17.28,3,9.73,17.53,2,9.84,17.42,4,9.76,17.84
1,9.55,26.83,2,9.47,27.00,3,9.70,27.12,4,9.58,27.42
1,9.56,36.39,2,9.47,36.47,3,9.47,36.59,4,9.53,36.95
2,9.98,46.367,3,9.97,46.431,1,9.73,46.319,4,9.77,46.720
