PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,KIM Geon Hee POSITION,KIM Geon Hee LAP TIME,KIM Geon Hee ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
1,13.90,13.90,2,13.94,13.94,4,14.02,14.02,5,14.15,14.15,3,14.01,14.01
3,10.29,24.19,2,10.14,24.08,4,10.18,24.20,5,10.15,24.30,1,9.93,23.94
2,9.69,33.88,1,9.76,33.84,5,9.83,34.03,4,9.62,33.92,2,9.94,33.88
3,9.64,43.52,2,9.56,43.40,4,9.68,43.71,1,9.27,43.19,5,9.97,43.85
3,9.45,52.97,2,9.47,52.87,4,9.35,53.06,1,9.61,52.80,5,9.31,53.16
2,9.38,1:02.35,1,9.38,1:02.25,5,9.55,1:02.61,3,9.56,1:02.36,4,9.36,1:02.52
1,9.25,1:11.60,2,9.36,1:11.61,5,9.38,1:11.99,3,9.41,1:11.77,4,9.27,1:11.79
1,9.40,1:21.00,2,9.48,1:21.09,5,9.40,1:21.39,4,9.55,1:21.32,3,9.40,1:21.19
1,9.50,1:30.50,2,9.53,1:30.62,5,9.48,1:30.874,4,9.46,1:30.784,3,9.50,1:30.698
