SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,6.78,6.78,2,6.93,6.93,3,7.06,7.06,4,7.22,7.22
1,8.80,15.58,2,8.78,15.71,3,8.74,15.80,4,8.73,15.95
1,8.49,24.07,2,8.37,24.08,3,8.37,24.17,4,8.33,24.28
3,8.68,32.75,1,8.38,32.46,2,8.47,32.64,4,8.83,33.11
3,,41.375,1,8.67,41.13,0,,PHOTO,4,9.19,42.274
