Milos VIGAS POSITION,Milos VIGAS LAP TIME,Milos VIGAS ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,7.13,7.13,4,7.38,7.38,1,7.08,7.08,3,7.29,7.29
2,9.41,16.54,4,9.40,16.78,1,9.29,16.37,3,9.32,16.61
3,8.86,25.40,4,8.93,25.71,1,8.64,25.01,2,8.61,25.22
3,8.87,34.27,4,8.92,34.63,1,8.65,33.66,2,8.67,33.89
3,9.22,43.481,4,9.04,43.661,1,8.87,42.529,2,8.79,42.671
