YANG Fei POSITION,YANG Fei LAP TIME,YANG Fei ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,V Gundmi RAGHAVENDRA POSITION,V Gundmi RAGHAVENDRA LAP TIME,V Gundmi RAGHAVENDRA ELAPSED TIME
1,10.70,10.70,4,11.18,11.18,3,11.03,11.03,2,10.87,10.87,5,11.36,11.36
1,15.61,26.31,4,15.64,26.82,2,15.40,26.43,3,15.59,26.46,5,15.63,26.99
2,13.50,39.81,4,13.26,40.08,1,13.27,39.70,3,13.48,39.94,5,13.22,40.21
2,12.85,52.66,4,12.99,53.07,1,12.84,52.54,3,12.86,52.80,5,12.98,53.19
2,11.97,1:04.63,4,11.85,1:04.92,1,11.97,1:04.51,3,11.93,1:04.73,5,11.83,1:05.02
2,11.16,1:15.79,4,11.09,1:16.01,3,11.41,1:15.92,1,10.94,1:15.67,5,11.13,1:16.15
2,10.84,1:26.63,3,10.71,1:26.72,4,10.81,1:26.73,1,10.86,1:26.53,5,10.85,1:27.00
3,10.29,1:36.92,1,10.02,1:36.74,4,10.25,1:36.98,2,10.29,1:36.82,5,10.20,1:37.20
2,9.64,1:46.56,1,9.76,1:46.50,4,9.76,1:46.74,3,9.82,1:46.64,5,10.50,1:47.70
1,9.21,1:55.77,2,9.39,1:55.89,3,9.24,1:55.98,4,9.37,1:56.01,5,10.86,1:58.56
1,9.48,2:05.25,2,9.38,2:05.27,3,9.41,2:05.39,4,9.50,2:05.51,5,11.38,2:09.94
1,9.38,2:14.63,2,9.46,2:14.73,3,9.44,2:14.83,4,9.47,2:14.98,5,11.64,2:21.58
1,9.37,2:24.00,2,9.36,2:24.09,3,9.37,2:24.20,4,9.23,2:24.21,5,12.81,2:34.39
1,9.58,2:33.576,2,9.58,2:33.662,3,9.89,2:34.090,0,,PEN,4,12.38,2:46.764
