KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,UKRAINE POSITION,UKRAINE LAP TIME,UKRAINE ELAPSED TIME
1,12.03,12.03,3,12.36,12.36,2,12.16,12.16
1,9.18,21.21,3,9.25,21.61,2,9.26,21.42
1,8.90,30.11,3,9.04,30.65,2,9.08,30.50
1,9.00,39.11,3,9.08,39.73,2,9.07,39.57
1,8.90,48.01,3,8.99,48.72,2,8.97,48.54
1,8.85,56.86,3,8.88,57.60,2,8.88,57.42
1,8.94,1:05.80,3,8.99,1:06.59,2,9.10,1:06.52
1,9.06,1:14.86,2,9.06,1:15.65,3,9.25,1:15.77
1,8.93,1:23.79,2,9.22,1:24.87,3,9.15,1:24.92
1,8.98,1:32.77,2,9.18,1:34.05,3,9.27,1:34.19
1,9.08,1:41.85,2,9.21,1:43.26,3,9.24,1:43.43
1,9.18,1:51.03,2,9.04,1:52.30,3,9.11,1:52.54
1,8.92,1:59.95,2,8.94,2:01.24,3,9.13,2:01.67
1,9.13,2:09.08,2,8.99,2:10.23,3,9.26,2:10.93
1,8.97,2:18.05,2,9.14,2:19.37,3,9.26,2:20.19
1,9.04,2:27.09,2,9.18,2:28.55,3,9.17,2:29.36
1,9.16,2:36.25,2,9.22,2:37.77,3,10.76,2:40.12
1,9.07,2:45.32,2,9.09,2:46.86,3,8.07,2:48.19
1,9.14,2:54.46,2,9.49,2:56.35,3,9.05,2:57.24
1,9.19,3:03.65,2,9.10,3:05.45,3,9.41,3:06.65
1,8.99,3:12.64,2,9.22,3:14.67,3,9.38,3:16.03
1,9.00,3:21.64,2,9.36,3:24.03,3,9.35,3:25.38
1,9.21,3:30.85,2,9.32,3:33.35,3,9.42,3:34.80
1,9.03,3:39.88,2,9.14,3:42.49,3,9.46,3:44.26
1,9.06,3:48.94,2,9.09,3:51.58,3,9.39,3:53.65
1,9.30,3:58.24,2,9.21,4:00.79,3,9.48,4:03.13
1,8.89,4:07.13,2,9.38,4:10.17,3,9.71,4:12.84
1,8.98,4:16.11,2,9.34,4:19.51,3,9.23,4:22.07
1,9.21,4:25.32,2,9.41,4:28.92,3,9.51,4:31.58
1,9.00,4:34.32,2,9.44,4:38.36,3,9.61,4:41.19
1,9.03,4:43.35,2,9.16,4:47.52,3,9.42,4:50.61
1,9.09,4:52.44,2,9.20,4:56.72,3,9.58,5:00.19
1,8.87,5:01.31,2,9.54,5:06.26,3,9.54,5:09.73
1,9.00,5:10.31,2,8.86,5:15.12,3,9.49,5:19.22
1,9.09,5:19.40,2,9.73,5:24.85,3,7.92,5:27.14
1,9.53,5:28.93,2,9.34,5:34.19,3,12.07,5:39.21
1,9.55,5:38.48,2,9.50,5:43.69,3,9.25,5:48.46
1,9.60,5:48.08,2,9.35,5:53.04,3,9.66,5:58.12
1,9.07,5:57.15,2,9.55,6:02.59,3,9.77,6:07.89
1,9.27,6:06.42,2,9.27,6:11.86,3,9.41,6:17.30
1,9.28,6:15.70,2,9.51,6:21.37,3,9.60,6:26.90
1,9.22,6:24.92,2,9.46,6:30.83,3,9.99,6:36.89
1,9.17,6:34.09,2,9.73,6:40.56,3,9.65,6:46.54
1,9.42,6:43.51,2,8.88,6:49.44,3,9.38,6:55.92
1,10.35,6:53.851,2,9.29,6:58.723,3,9.78,7:05.700
