Dries CELIS POSITION,Dries CELIS LAP TIME,Dries CELIS ELAPSED TIME,Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME
2,13.390,13.390,1,13.270,13.270,4,13.599,13.599,3,13.496,13.496
2,10.262,23.652,3,10.487,23.757,4,10.335,23.934,1,9.921,23.417
3,9.829,33.480,2,9.716,33.472,4,9.771,33.704,1,9.638,33.055
3,9.852,43.331,2,9.634,43.106,4,9.635,43.339,1,9.772,42.826
3,9.510,52.841,2,9.658,52.764,4,9.746,53.084,1,9.555,52.380
3,9.552,1:02.392,2,9.453,1:02.216,4,9.431,1:02.515,1,9.614,1:01.994
4,9.846,1:12.238,1,9.293,1:11.508,3,9.424,1:11.939,2,9.521,1:11.514
4,10.240,1:22.478,3,9.391,1:20.899,2,8.959,1:20.898,1,8.922,1:20.436
4,10.64,1:33.112,3,9.60,1:30.496,2,9.60,1:30.494,1,9.69,1:30.127
