van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,ZHANG Yuting POSITION,ZHANG Yuting LAP TIME,ZHANG Yuting ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
2,13.37,13.37,1,13.28,13.28,3,13.50,13.50,4,13.62,13.62,5,13.76,13.76
2,10.26,23.63,1,10.24,23.52,4,10.25,23.75,3,10.11,23.73,5,10.17,23.93
2,9.72,33.35,1,9.74,33.26,3,9.73,33.48,4,9.83,33.56,5,9.69,33.62
1,9.55,42.90,2,9.81,43.07,3,9.69,43.17,4,9.67,43.23,5,9.74,43.36
1,9.53,52.43,2,9.47,52.54,4,9.62,52.79,3,9.44,52.67,5,9.51,52.87
1,9.41,1:01.84,2,9.38,1:01.92,4,9.44,1:02.23,3,9.37,1:02.04,5,9.70,1:02.57
1,9.41,1:11.25,2,9.44,1:11.36,4,9.39,1:11.62,3,9.37,1:11.41,5,9.89,1:12.46
1,9.66,1:20.91,2,9.63,1:20.99,4,9.55,1:21.17,3,9.66,1:21.07,5,10.57,1:23.03
0,10.22,1:31.13,1,9.84,1:30.83,4,9.98,1:31.156,2,9.83,1:30.90,5,11.09,1:34.128
