KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,GAGNON Claudia POSITION,GAGNON Claudia LAP TIME,GAGNON Claudia ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
2,13.15,13.15,1,13.05,13.05,3,13.24,,4,13.36,13.36
2,10.13,23.28,1,10.12,23.17,3,10.17,,4,10.17,23.53
2,9.78,33.06,1,9.84,33.01,3,9.76,,4,9.70,33.23
1,9.19,42.25,2,9.41,42.42,3,9.34,,4,9.39,42.62
1,9.45,51.70,2,9.36,51.78,2,9.27,,4,9.31,51.93
1,9.65,1:01.35,4,11.06,1:02.84,2,10.35,,3,10.52,1:02.45
1,9.54,1:10.89,4,10.02,1:12.86,2,9.54,,3,9.28,1:11.73
1,9.65,1:20.54,4,10.15,1:23.01,3,9.78,,2,9.35,1:21.08
1,9.66,1:30.20,4,10.63,1:33.64,3,10.02,,2,9.66,1:30.74
