Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Alexandre ST JEAN POSITION,Alexandre ST JEAN LAP TIME,Alexandre ST JEAN ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
1,12.35,12.35,3,12.59,12.59,2,12.44,12.44,4,12.93,12.93
1,9.84,22.19,3,9.81,22.40,2,9.84,22.28,4,9.59,22.52
1,9.83,32.02,2,9.71,32.11,3,9.94,32.22,4,9.82,32.34
3,18.31,50.33,1,9.60,41.71,4,18.79,51.01,2,9.61,41.95
4,24.06,1:14.39,1,9.64,51.35,3,16.55,1:07.56,2,9.60,51.55
4,14.79,1:29.18,1,10.25,1:01.60,3,11.30,1:18.86,2,10.17,1:01.72
4,13.30,1:42.48,1,10.97,1:12.57,3,10.78,1:29.64,2,10.98,1:12.70
4,12.47,1:54.95,1,10.93,1:23.50,3,11.14,1:40.78,2,10.89,1:23.59
4,12.83,2:07.780,2,11.22,1:34.720,3,12.30,1:53.073,1,10.11,1:33.694
