Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Azamat NURMAGAMBETOV POSITION,Azamat NURMAGAMBETOV LAP TIME,Azamat NURMAGAMBETOV ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
3,8.14,8.14,5,8.28,8.28,1,7.97,7.97,4,8.23,8.23,2,8.02,8.02
1,11.51,19.65,2,11.49,19.77,3,11.90,19.87,5,11.93,20.16,4,11.95,19.97
2,10.99,30.64,5,11.09,30.86,1,10.68,30.55,4,10.66,30.82,3,10.75,30.72
3,10.99,41.63,4,10.98,41.84,1,11.04,41.59,2,10.81,41.63,5,11.30,42.02
1,10.52,52.15,5,10.78,52.62,2,10.69,52.28,4,10.84,52.47,3,10.34,52.36
1,10.87,1:03.02,5,10.73,1:03.35,2,10.78,1:03.06,4,10.78,1:03.25,3,10.79,1:03.15
2,10.58,1:13.60,5,10.62,1:13.97,1,10.41,1:13.47,4,10.57,1:13.82,3,10.56,1:13.71
2,10.18,1:23.78,5,10.24,1:24.21,1,10.20,1:23.67,4,10.25,1:24.07,3,10.17,1:23.88
2,9.81,1:33.59,5,10.08,1:34.29,1,9.78,1:33.45,4,10.09,1:34.16,3,9.82,1:33.70
2,9.50,1:43.09,5,10.82,1:45.11,1,9.52,1:42.97,4,10.78,1:44.94,3,9.47,1:43.17
2,9.41,1:52.50,5,11.49,1:56.60,1,9.42,1:52.39,4,11.47,1:56.41,3,9.41,1:52.58
2,9.42,2:01.92,4,11.09,2:07.69,3,9.54,2:01.93,5,11.65,2:08.06,1,9.32,2:01.90
2,9.53,2:11.45,4,11.14,2:18.83,3,9.65,2:11.58,5,11.88,2:19.94,1,9.42,2:11.32
2,9.70,2:21.149,4,11.70,2:30.527,3,9.68,2:21.253,5,13.09,2:33.028,1,9.69,2:21.003
