AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Alexander SEKISOV POSITION,Alexander SEKISOV LAP TIME,Alexander SEKISOV ELAPSED TIME
4,13.878,13.878,2,13.690,13.690,3,13.868,13.868,1,13.362,13.362
3,10.379,24.257,2,10.192,23.882,4,10.456,24.323,1,10.482,23.843
4,10.014,34.271,2,9.999,33.880,3,9.718,34.041,1,9.880,33.723
4,9.727,43.998,1,9.767,43.647,2,9.806,43.846,3,10.138,43.860
2,9.134,53.132,1,9.294,52.940,4,9.432,53.278,3,9.405,53.265
2,9.270,1:02.401,3,9.471,1:02.411,1,9.114,1:02.392,4,9.279,1:02.543
2,9.258,1:11.659,1,9.097,1:11.508,4,9.467,1:11.858,3,9.207,1:11.749
2,9.258,1:20.916,3,9.425,1:20.932,1,8.757,1:20.615,4,9.446,1:21.195
1,9.46,1:30.370,3,10.13,1:31.060,2,9.92,1:30.528,4,9.97,1:31.159
