PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME
5,15.99,15.99,4,15.85,15.85,3,15.81,15.81,1,15.44,15.44,2,15.56,15.56
5,11.28,27.27,4,11.26,27.11,2,11.05,26.86,3,11.53,26.97,1,11.27,26.83
5,10.95,38.22,4,10.96,38.07,1,10.79,37.65,3,10.94,37.91,2,10.95,37.78
5,10.33,48.55,2,10.22,48.29,1,10.55,48.20,4,10.50,48.41,3,10.56,48.34
4,9.43,57.98,3,9.58,57.87,1,9.42,57.62,2,9.33,57.74,5,9.71,58.05
4,9.49,1:07.47,3,9.45,1:07.32,2,9.55,1:07.17,1,9.42,1:07.16,5,9.44,1:07.49
5,9.48,1:16.95,2,9.31,1:16.63,3,9.47,1:16.64,1,9.34,1:16.50,4,9.34,1:16.83
5,9.38,1:26.33,2,9.41,1:26.04,3,9.53,1:26.17,1,9.43,1:25.93,4,9.41,1:26.24
4,9.51,1:35.820,1,9.25,1:35.276,3,9.45,1:35.610,2,9.56,1:35.478,5,9.81,1:36.034
