JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Aleksandr ZHERMANOV POSITION,Aleksandr ZHERMANOV LAP TIME,Aleksandr ZHERMANOV ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME
1,13.79,13.79,2,13.88,13.88,3,13.99,13.99,4,14.10,14.10,5,14.20,14.20
1,10.78,24.57,2,10.78,24.66,3,10.82,24.81,5,10.85,24.95,4,10.73,24.93
1,10.62,35.19,2,10.62,35.28,3,10.62,35.43,4,10.61,35.56,5,10.79,35.72
1,10.36,45.55,2,10.35,45.63,3,10.33,45.76,4,10.34,45.90,5,10.30,46.02
2,9.75,55.30,1,9.54,55.17,3,9.71,55.47,4,9.83,55.73,5,9.90,55.92
2,9.06,1:04.36,1,9.02,1:04.19,3,8.99,1:04.46,4,9.24,1:04.97,5,9.32,1:05.24
2,8.87,1:13.23,1,8.92,1:13.11,3,8.86,1:13.32,4,9.24,1:14.21,5,9.26,1:14.50
3,8.94,1:22.17,1,8.83,1:21.94,2,8.73,1:22.05,4,9.39,1:23.60,5,9.44,1:23.94
3,9.16,1:31.338,1,9.26,1:31.20,2,9.22,1:31.27,4,9.76,1:33.367,5,9.72,1:33.661
