Sergei KUDRIA POSITION,Sergei KUDRIA LAP TIME,Sergei KUDRIA ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME,Alvaro PENA POSITION,Alvaro PENA LAP TIME,Alvaro PENA ELAPSED TIME
6,9.76,9.76,3,9.46,9.46,1,9.23,9.23,5,9.59,9.59,2,9.24,9.24,4,9.53,9.53
6,13.67,23.43,3,13.75,23.21,2,13.79,23.02,5,13.74,23.33,1,13.64,22.88,4,13.76,23.29
6,13.21,36.64,5,13.31,36.52,3,13.16,36.18,1,12.60,35.93,2,13.17,36.05,4,13.01,36.30
6,11.33,47.97,5,11.31,47.83,3,11.29,47.47,1,11.43,47.36,2,11.38,47.43,4,11.35,47.65
6,10.37,58.34,5,10.37,58.20,2,10.35,57.82,1,10.34,57.70,3,10.53,57.96,4,10.44,58.09
6,9.76,1:08.10,4,9.72,1:07.92,2,9.89,1:07.71,1,9.91,1:07.61,3,9.85,1:07.81,5,9.97,1:08.06
5,9.62,1:17.72,4,9.67,1:17.59,2,9.66,1:17.37,1,9.66,1:17.27,3,9.66,1:17.47,6,9.78,1:17.84
5,9.58,1:27.30,4,9.53,1:27.12,2,9.56,1:26.93,1,9.57,1:26.84,3,9.55,1:27.02,6,9.56,1:27.40
5,9.64,1:36.94,4,9.43,1:36.55,2,9.42,1:36.35,1,9.39,1:36.23,3,9.44,1:36.46,6,9.66,1:37.06
5,9.87,1:46.81,3,9.14,1:45.69,2,9.26,1:45.61,1,9.27,1:45.50,4,9.34,1:45.80,6,9.90,1:46.96
5,10.35,1:57.16,2,9.01,1:54.70,3,9.34,1:54.95,1,9.12,1:54.62,4,9.41,1:55.21,6,10.33,1:57.29
6,10.83,2:07.99,2,9.21,2:03.91,3,9.62,2:04.57,1,9.17,2:03.79,4,9.65,2:04.86,5,10.42,2:07.71
6,11.38,2:19.37,2,9.35,2:13.26,3,10.12,2:14.69,1,9.33,2:13.12,4,9.99,2:14.85,5,10.60,2:18.31
6,12.03,2:31.396,2,9.50,2:22.755,4,10.61,2:25.296,1,9.42,2:22.539,3,10.18,2:25.025,5,10.98,2:29.288
