Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME
3,14.41,14.41,2,14.29,14.29,1,14.13,14.13,4,14.56,14.56
3,10.76,25.17,2,10.79,25.08,1,10.84,24.97,4,10.71,25.27
4,10.76,35.93,2,10.79,35.87,1,10.80,35.77,3,10.66,35.93
3,9.97,45.90,2,9.93,45.80,1,9.91,45.68,4,10.12,46.05
4,10.01,55.91,2,9.89,55.69,1,9.89,55.57,3,9.74,55.79
4,9.47,1:05.38,2,9.31,1:05.00,1,9.41,1:04.98,3,9.41,1:05.20
4,9.11,1:14.49,1,9.04,1:14.04,2,9.21,1:14.19,3,9.12,1:14.32
4,9.13,1:23.62,1,9.08,1:23.12,2,9.05,1:23.24,3,9.16,1:23.48
4,9.27,1:32.890,1,9.17,1:32.291,2,9.12,1:32.358,3,9.22,1:32.693
