Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Liudmila TSARYKAVA POSITION,Liudmila TSARYKAVA LAP TIME,Liudmila TSARYKAVA ELAPSED TIME
1,7.52,7.52,2,7.62,7.62,3,7.81,7.81,4,8.47,8.47
1,10.00,17.52,2,9.98,17.60,3,9.87,17.68,4,10.62,19.09
1,9.50,27.02,2,9.51,27.11,3,9.50,27.18,4,10.24,29.33
2,9.77,36.79,1,9.68,36.79,3,9.73,36.91,4,10.56,39.89
2,9.77,46.559,1,9.61,46.400,3,9.72,46.628,4,10.80,50.689
