Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME
4,23.762,23.762,1,13.405,13.405,2,13.490,13.490,3,13.511,13.511
0,,,2,10.505,23.910,3,10.512,24.002,1,10.010,23.521
2,,33.356,4,9.734,33.643,3,9.542,33.544,1,9.743,33.263
1,9.248,42.604,4,9.403,43.046,3,9.256,42.800,2,9.412,42.676
1,9.399,52.003,3,9.206,52.252,4,10.968,53.767,2,9.467,52.143
1,9.385,1:01.388,3,9.511,1:01.764,4,12.272,1:06.039,2,9.387,1:01.529
1,9.486,1:10.874,3,9.636,1:11.399,4,14.323,1:20.362,2,9.851,1:11.380
1,9.674,1:20.548,3,9.774,1:21.173,4,13.938,1:34.301,2,9.662,1:21.042
1,10.119,1:30.667,3,10.189,1:31.362,4,14.427,1:48.727,2,9.788,1:30.830
