Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Trevor Xu Xuan TAN POSITION,Trevor Xu Xuan TAN LAP TIME,Trevor Xu Xuan TAN ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME,Metehan ATAN POSITION,Metehan ATAN LAP TIME,Metehan ATAN ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME
4,8.44,,1,8.11,8.11,5,8.61,8.61,7,9.13,9.13,2,8.22,8.22,3,8.33,8.33,6,8.73,8.73
4,10.71,,1,10.75,18.86,5,10.65,19.26,7,10.42,19.55,2,10.73,18.95,3,10.63,18.96,6,10.57,19.30
4,10.09,,2,10.10,28.96,6,10.18,29.44,7,9.94,29.49,3,10.14,29.09,1,9.91,28.87,5,10.01,29.31
5,9.70,,1,9.70,38.66,7,9.73,39.17,4,9.44,38.93,3,9.77,38.86,2,9.82,38.69,6,9.75,39.06
5,9.39,,2,9.45,48.11,7,9.37,48.54,1,9.14,48.07,4,9.42,48.28,3,9.50,48.19,6,9.37,48.43
5,9.81,,2,9.78,57.89,6,9.72,58.26,1,9.78,57.85,3,9.69,57.97,4,9.80,57.99,6,9.83,58.26
6,9.98,,1,9.71,1:07.60,5,9.70,1:07.96,2,9.87,1:07.72,4,9.85,1:07.82,3,9.80,1:07.79,7,9.87,1:08.13
5,10.02,,1,9.72,1:17.32,7,21.91,1:29.87,2,9.73,1:17.45,6,21.82,1:29.64,3,9.77,1:17.56,4,9.78,1:17.91
5,10.74,,1,9.59,1:26.91,7,13.10,1:42.97,3,9.70,1:27.15,6,12.52,1:42.16,2,9.48,1:27.04,4,9.42,1:27.33
5,10.18,,1,9.45,1:36.36,7,10.38,1:53.35,3,9.47,1:36.62,6,10.60,1:52.76,2,9.34,1:36.38,4,9.39,1:36.72
5,10.06,,2,9.35,1:45.71,7,10.10,2:03.45,3,9.19,1:45.81,6,10.39,2:03.15,1,9.26,1:45.64,4,9.25,1:45.97
5,10.45,,2,9.25,1:54.96,7,10.85,2:14.30,3,9.22,1:55.03,6,11.04,2:14.19,1,9.25,1:54.89,4,9.41,1:55.38
5,10.67,,2,9.31,2:04.27,7,10.39,2:24.69,3,9.40,2:04.43,6,10.33,2:24.52,1,9.30,2:04.19,4,10.01,2:05.39
5,11.43,,2,9.37,2:13.64,7,15.60,2:40.29,3,9.55,2:13.98,6,14.85,2:39.37,1,9.36,2:13.55,4,10.42,2:15.81
