Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
4,13.96,13.96,3,13.74,13.74,1,13.64,13.64,2,13.71,13.71
4,10.02,23.98,3,10.15,23.89,1,10.03,23.67,2,10.06,23.77
4,9.59,33.57,3,9.64,33.53,1,9.66,33.33,2,9.64,33.41
4,9.46,43.03,3,9.40,42.93,1,9.30,42.63,2,9.36,42.77
3,9.08,52.11,4,9.36,52.29,1,9.25,51.88,2,9.21,51.98
3,9.10,1:01.21,4,9.50,1:01.79,1,9.13,1:01.01,2,9.11,1:01.09
3,9.25,1:10.46,4,9.68,1:11.47,1,9.01,1:10.02,2,9.03,1:10.12
3,9.68,1:20.14,4,10.09,1:21.56,1,9.04,1:19.06,2,9.15,1:19.27
3,10.16,1:30.296,4,10.56,1:32.117,1,9.28,1:28.337,2,9.71,1:28.977
