ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Karolina REGUCKA POSITION,Karolina REGUCKA LAP TIME,Karolina REGUCKA ELAPSED TIME,Nita AVRITH POSITION,Nita AVRITH LAP TIME,Nita AVRITH ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
0,9.401,9.401,0,8.924,8.924,0,9.550,9.550,0,9.110,9.110,0,8.989,8.989
0,12.822,22.223,0,12.812,21.736,0,12.838,22.387,0,12.785,21.894,0,12.867,21.856
0,12.113,34.336,0,12.127,33.862,0,12.138,34.525,0,13.198,35.092,0,12.176,34.032
0,12.355,46.691,0,12.280,46.142,0,12.307,46.832,0,11.308,46.400,0,12.279,46.311
0,11.986,58.677,0,12.110,58.252,0,11.961,58.793,0,11.893,58.292,0,12.006,58.317
0,11.609,1:10.287,0,11.628,1:09.880,0,11.701,1:10.494,0,12.000,1:10.292,0,11.659,1:09.975
0,11.314,1:21.601,0,11.227,1:21.107,0,11.378,1:21.872,0,11.017,1:21.309,0,11.180,1:21.155
0,10.305,1:31.906,0,10.527,1:31.634,0,10.124,1:31.995,0,10.255,1:31.565,0,10.368,1:31.523
0,10.699,1:42.605,0,10.517,1:42.151,0,10.578,1:42.573,0,11.030,1:42.594,0,10.567,1:42.090
0,10.326,1:52.931,0,10.493,1:52.644,0,10.120,1:52.693,0,10.270,1:52.864,0,10.429,1:52.519
0,10.108,2:03.039,0,10.248,2:02.892,0,9.688,2:02.381,0,10.045,2:02.908,0,9.837,2:02.356
0,9.324,2:12.362,0,10.407,2:13.299,0,9.950,2:12.331,0,,,0,9.903,2:12.258
0,9.627,2:21.990,0,10.668,2:23.968,0,9.955,2:22.285,0,,2:19.482,0,10.025,2:22.283
0,9.898,2:31.888,0,11.064,2:35.032,0,,,0,15.908,2:35.390,0,10.087,2:32.370
