Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME
1,13.14,13.14,5,13.60,13.60,2,13.29,13.29,3,13.48,13.48,4,13.56,13.56
2,9.81,22.95,5,9.73,23.33,1,9.56,22.85,3,9.56,23.04,4,9.64,23.20
1,9.19,32.14,5,9.42,32.75,2,9.40,32.25,3,9.34,32.38,4,9.39,32.59
1,9.48,41.62,5,9.36,42.11,2,9.40,41.65,3,9.43,41.81,4,9.41,42.00
2,9.19,50.81,5,9.30,51.41,1,9.07,50.72,3,9.10,50.91,4,9.29,51.29
2,9.04,59.85,5,9.36,1:00.77,1,9.05,59.77,3,9.05,59.96,4,9.36,1:00.65
2,8.91,1:08.76,5,9.58,1:10.35,1,8.89,1:08.66,3,8.93,1:08.89,4,9.61,1:10.26
2,9.10,1:17.86,4,9.88,1:20.23,1,9.07,1:17.73,3,9.05,1:17.94,5,10.00,1:20.26
2,9.42,1:27.28,5,10.54,1:30.77,1,9.30,1:27.03,3,9.44,1:27.38,4,10.39,1:30.65
