MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME
2,13.89,13.89,4,14.11,14.11,3,13.98,13.98,5,14.23,14.23,1,13.81,13.81
2,10.91,24.80,5,11.02,25.13,1,10.78,24.76,4,10.80,25.03,3,11.05,24.86
2,10.23,35.03,4,10.10,35.23,1,10.17,34.93,3,10.12,35.15,5,10.40,35.26
2,9.89,44.92,4,9.79,45.02,1,9.90,44.83,3,9.86,45.01,5,9.93,45.19
3,9.49,54.41,1,9.07,54.09,2,9.44,54.27,4,9.49,54.50,5,9.42,54.61
3,9.14,1:03.55,1,9.27,1:03.36,2,9.19,1:03.46,4,9.19,1:03.69,5,9.20,1:03.81
3,9.41,1:12.96,1,9.43,1:12.79,2,9.42,1:12.88,4,9.36,1:13.05,5,9.35,1:13.16
3,9.50,1:22.46,1,9.52,1:22.31,2,9.52,1:22.40,4,9.49,1:22.54,5,9.57,1:22.73
3,9.69,1:32.15,1,9.69,1:32.00,2,9.67,1:32.07,4,9.70,1:32.24,5,9.72,1:32.45
