Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,LEE Seung-Hoon POSITION,LEE Seung-Hoon LAP TIME,LEE Seung-Hoon ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME
6,9.087,9.087,2,8.711,8.711,1,8.705,8.705,7,9.089,9.089,3,8.902,8.902,5,9.058,9.058,4,9.039,9.039
1,11.478,20.565,2,11.929,20.640,5,12.103,20.808,4,11.699,20.788,6,11.917,20.819,7,11.827,20.885,3,11.742,20.781
7,10.194,30.759,5,10.050,30.690,6,9.941,30.749,4,9.732,30.520,1,9.544,30.363,3,9.545,30.430,2,9.631,30.412
7,9.881,40.640,6,9.841,40.531,5,9.753,40.502,3,9.784,40.304,1,9.787,40.150,2,9.791,40.221,4,9.908,40.320
7,10.395,51.035,4,10.265,50.796,6,10.406,50.908,5,10.504,50.808,1,10.414,50.564,3,10.540,50.760,2,10.353,50.673
5,10.133,1:01.168,1,10.214,1:01.009,7,10.345,1:01.253,4,10.334,1:01.142,3,10.521,1:01.085,6,10.467,1:01.227,2,10.353,1:01.026
7,11.030,1:12.198,1,10.484,1:11.493,3,10.301,1:11.554,5,10.548,1:11.689,4,10.535,1:11.620,6,10.762,1:11.989,2,10.509,1:11.535
7,10.127,1:22.326,3,10.536,1:22.029,1,10.342,1:21.896,2,10.316,1:22.005,5,10.558,1:22.178,4,10.136,1:22.125,6,10.651,1:22.186
6,9.648,1:31.973,7,9.982,1:32.011,1,9.709,1:31.605,4,9.886,1:31.891,3,9.619,1:31.797,5,9.826,1:31.951,2,9.479,1:31.664
7,9.750,1:41.723,5,9.536,1:41.548,1,9.658,1:41.263,4,9.601,1:41.492,2,9.481,1:41.277,3,9.522,1:41.473,6,9.894,1:41.558
7,9.649,1:51.372,5,9.618,1:51.166,2,9.590,1:50.853,4,9.556,1:51.048,1,9.534,1:50.811,3,9.555,1:51.028,6,9.722,1:51.280
7,9.547,2:00.919,6,9.519,2:00.685,2,9.390,2:00.243,4,9.461,2:00.509,1,9.395,2:00.206,3,9.409,2:00.437,5,9.267,2:00.547
7,9.219,2:10.138,5,9.218,2:09.902,3,9.462,2:09.705,2,9.178,2:09.686,1,9.477,2:09.683,4,9.357,2:09.794,6,9.429,2:09.976
6,9.601,2:19.739,3,9.275,2:19.178,4,9.520,2:19.225,7,10.221,2:19.907,1,9.372,2:19.055,2,9.327,2:19.121,5,9.404,2:19.380
