Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
2,6.82,6.82,1,6.78,6.78,4,7.14,7.14,3,6.98,6.98
2,9.43,16.25,1,9.37,16.15,4,9.30,16.44,3,9.38,16.36
1,8.71,24.96,2,8.94,25.09,3,8.71,25.15,4,8.84,25.20
1,9.03,33.99,3,9.02,34.11,2,8.92,34.07,4,9.20,34.40
3,10.76,44.747,0,,DQ,1,9.05,43.114,2,9.32,43.711
