Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
1,13.52,13.52,3,13.71,13.71,2,13.56,13.56,4,13.87,13.87,5,14.00,14.00
1,10.36,23.88,2,10.30,24.01,3,10.57,24.13,4,10.36,24.23,5,10.32,24.32
1,9.92,33.80,2,9.88,33.89,4,9.97,34.10,3,9.79,34.02,5,9.93,34.25
1,9.62,43.42,2,9.62,43.51,4,9.56,43.66,3,9.59,43.61,5,9.53,43.78
2,9.58,53.00,1,9.40,52.91,4,9.53,53.19,3,9.49,53.10,5,9.52,53.30
2,9.66,1:02.66,1,9.67,1:02.58,4,9.67,1:02.86,3,9.65,1:02.75,5,9.67,1:02.97
2,9.91,1:12.57,1,9.86,1:12.44,4,9.89,1:12.75,3,9.88,1:12.63,5,9.85,1:12.82
5,10.26,1:22.83,1,9.98,1:22.42,2,9.81,1:22.56,3,10.02,1:22.65,4,9.96,1:22.78
4,10.67,1:33.493,1,10.02,1:32.434,0,,PEN,2,9.96,1:32.605,3,10.07,1:32.841
