PARASCHIVOIU Marius POSITION,PARASCHIVOIU Marius LAP TIME,PARASCHIVOIU Marius ELAPSED TIME,Arno JASPERS POSITION,Arno JASPERS LAP TIME,Arno JASPERS ELAPSED TIME,Jorrit OOSTEN POSITION,Jorrit OOSTEN LAP TIME,Jorrit OOSTEN ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME,Ondrej SUCHY POSITION,Ondrej SUCHY LAP TIME,Ondrej SUCHY ELAPSED TIME,BODO Juraj POSITION,BODO Juraj LAP TIME,BODO Juraj ELAPSED TIME
0,8.330,8.330,0,8.712,8.712,0,9.739,9.739,0,9.020,9.020,0,8.816,8.816,0,8.373,8.373
0,11.676,20.007,0,11.492,20.204,0,10.645,20.384,0,11.297,20.316,0,11.478,20.294,0,11.815,20.188
0,11.208,31.214,0,11.118,31.322,0,11.444,31.827,0,11.207,31.524,0,11.138,31.431,0,11.286,31.473
0,11.062,42.276,0,11.234,42.556,0,11.126,42.953,0,11.205,42.729,0,11.170,42.601,0,10.694,42.168
0,10.863,53.140,0,10.669,53.225,0,10.628,53.582,0,10.869,53.598,0,10.714,53.315,0,11.412,53.579
0,10.581,1:03.721,0,10.277,1:03.502,0,10.489,1:04.070,0,10.399,1:03.997,0,10.715,1:04.030,0,9.888,1:03.467
0,10.450,1:14.171,0,10.118,1:13.620,0,9.270,1:13.340,0,9.969,1:13.966,0,9.907,1:13.937,0,9.210,1:12.677
0,10.371,1:24.541,0,10.174,1:23.794,0,10.604,1:23.944,0,10.282,1:24.248,0,10.010,1:23.947,0,11.307,1:23.984
0,10.510,1:35.051,0,10.164,1:33.958,0,9.818,1:33.762,0,31.222,1:55.470,0,10.786,1:34.732,0,10.511,1:34.494
0,11.196,1:46.247,0,10.090,1:44.048,0,10.017,1:43.778,0,14.981,2:10.451,0,10.354,1:45.086,0,10.247,1:44.741
0,11.754,1:58.001,0,10.247,1:54.296,0,10.187,1:53.965,0,12.765,2:23.216,0,10.566,1:55.652,0,11.023,1:55.764
0,11.938,2:09.938,0,10.797,2:05.092,0,10.611,2:04.576,0,12.488,2:35.703,0,10.912,2:06.564,0,11.231,2:06.995
0,12.198,2:22.136,0,11.277,2:16.369,0,10.842,2:15.418,0,13.442,2:49.146,0,11.286,2:17.850,0,10.827,2:17.822
0,,,0,,,0,,,0,,,0,,,0,,
