Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
3,13.82,,1,13.46,13.46,2,13.63,13.63,4,13.97,13.97
3,10.65,,1,10.68,24.14,2,10.63,24.26,4,10.62,24.59
3,10.02,,2,10.16,34.30,1,10.02,34.28,4,10.03,34.62
3,9.29,,2,9.35,43.65,1,9.29,43.57,4,9.30,43.92
3,9.15,,1,9.11,52.76,1,9.19,52.76,4,9.15,53.07
3,8.89,,1,8.88,1:01.64,2,8.97,1:01.73,4,8.84,1:01.91
2,8.72,,1,8.84,1:10.48,3,8.83,1:10.56,4,8.79,1:10.70
4,9.10,,1,8.90,1:19.38,3,9.03,1:19.59,2,8.78,1:19.48
3,8.96,,1,9.11,1:28.49,3,9.08,1:28.658,2,9.05,1:28.53
