Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME
2,11.522,11.522,3,11.887,11.887,4,11.953,11.953,5,12.158,12.158,1,11.458,11.458
2,15.356,26.878,1,14.857,26.744,5,15.268,27.221,4,14.931,27.089,3,15.598,27.056
2,13.764,40.642,1,13.718,40.461,5,13.744,40.964,3,13.689,40.777,4,13.813,40.868
2,13.688,54.330,1,13.854,54.314,5,13.790,54.754,4,13.859,54.636,3,13.716,54.583
2,13.347,1:07.676,1,13.201,1:07.515,4,13.093,1:07.846,5,13.259,1:07.895,3,13.132,1:07.715
3,10.982,1:18.658,2,11.042,1:18.556,5,10.970,1:18.815,4,10.864,1:18.758,1,10.826,1:18.540
1,10.250,1:28.908,2,10.385,1:28.940,5,10.329,1:29.143,4,10.367,1:29.125,3,10.459,1:28.998
3,10.532,1:39.439,1,10.444,1:39.384,4,10.485,1:39.628,5,10.577,1:39.701,2,10.421,1:39.419
3,10.503,1:49.942,1,10.446,1:49.830,4,10.414,1:50.041,5,10.551,1:50.252,2,10.438,1:49.856
3,10.595,2:00.537,1,10.520,2:00.349,4,10.638,2:00.679,5,10.660,2:00.912,2,10.679,2:00.535
2,9.962,2:10.499,1,10.020,2:10.369,3,9.845,2:10.523,5,9.901,2:10.813,4,10.040,2:10.575
2,9.770,2:20.268,1,9.796,2:20.164,3,9.783,2:20.306,5,10.179,2:20.991,4,9.899,2:20.473
2,9.881,2:30.148,1,9.831,2:29.995,3,9.913,2:30.219,5,10.257,2:31.247,4,10.743,2:31.216
3,10.84,2:40.979,1,10.55,2:40.536,2,10.57,2:40.782,4,10.63,2:41.876,5,10.83,2:42.044
