Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
1,7.05,7.05,3,7.36,7.36,4,7.49,7.49,2,7.17,7.17
2,9.40,16.45,3,9.27,16.63,4,9.39,16.88,1,9.13,16.30
2,8.56,25.01,4,22.39,39.02,3,8.68,25.56,1,8.55,24.85
2,8.75,33.76,4,18.92,57.94,3,9.00,34.56,1,8.75,33.60
2,9.05,42.810,4,14.07,1:12.006,3,9.35,43.902,1,8.89,42.484
