J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME
5,9.88,,6,9.94,9.94,4,9.75,9.75,3,9.74,9.74,2,9.58,9.58,1,9.52,9.52
6,13.04,,5,12.80,22.74,2,12.65,22.40,4,12.91,22.65,1,12.70,22.28,3,12.99,22.51
5,11.90,,6,12.20,34.94,2,12.18,34.58,3,12.04,34.69,1,12.14,34.42,4,12.30,34.81
2,10.90,,6,11.07,46.01,1,11.04,45.62,4,11.16,45.85,3,11.36,45.78,5,11.09,45.90
2,11.55,,6,11.63,57.64,1,11.58,57.20,3,11.50,57.35,4,11.61,57.39,5,11.63,57.53
3,10.85,,6,10.91,1:08.55,2,10.80,1:08.00,4,10.87,1:08.22,1,10.52,1:07.91,5,10.87,1:08.40
3,10.35,,6,10.25,1:18.80,2,10.35,1:18.35,4,10.34,1:18.56,1,10.29,1:18.20,5,10.18,1:18.58
3,9.79,,6,10.16,1:28.96,1,9.81,1:28.16,4,9.89,1:28.45,2,10.05,1:28.25,5,9.91,1:28.49
2,9.55,,6,10.23,1:39.19,1,9.56,1:37.72,4,9.49,1:37.94,3,9.63,1:37.88,5,9.62,1:38.11
1,9.45,,6,10.89,1:50.08,5,10.19,1:47.91,4,9.74,1:47.68,2,9.54,1:47.42,3,9.44,1:47.55
1,9.43,,5,11.57,2:01.65,6,15.75,2:03.66,4,9.52,1:57.20,2,9.40,1:56.82,3,9.37,1:56.92
1,9.15,,6,12.10,2:13.75,5,10.05,2:13.71,4,9.56,2:06.76,2,9.13,2:05.95,3,9.19,2:06.11
1,9.11,,6,12.87,2:26.62,5,11.00,2:24.71,4,9.82,2:16.58,2,9.10,2:15.05,3,9.11,2:15.22
1,9.35,,6,12.61,2:39.23,5,10.69,2:35.40,4,10.20,2:26.78,0,,PHOTO,0,,PHOTO
