Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME
2,7.65,7.65,3,7.69,7.69,0,,,1,7.55,7.55
3,10.03,17.69,1,9.75,17.45,2,0.00,17.66,4,10.14,17.70
2,8.91,26.60,1,9.04,26.49,4,9.56,27.23,3,9.51,27.21
1,9.18,35.79,2,9.33,35.82,3,8.95,36.18,4,9.53,36.75
2,9.59,45.375,1,9.43,45.243,3,9.51,45.681,4,9.74,46.481
