KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME
1,9.94,9.94,3,10.07,10.07,5,10.18,10.18,6,10.31,10.31,7,10.47,10.47,4,10.14,10.14,2,9.96,9.96
2,13.85,23.79,5,13.95,24.02,3,13.64,23.82,6,13.92,24.23,7,13.90,24.37,4,13.76,23.90,1,13.69,23.65
4,12.65,36.44,5,12.51,36.53,1,12.44,36.26,6,12.42,36.65,7,12.40,36.77,3,12.51,36.41,2,12.72,36.37
1,12.25,48.69,5,12.66,49.19,2,12.54,48.80,6,12.68,49.33,7,12.76,49.53,4,12.63,49.04,3,12.52,48.89
1,11.94,1:00.63,5,11.84,1:01.03,3,11.99,1:00.79,7,11.83,1:01.16,6,11.60,1:01.13,2,11.72,1:00.76,4,12.00,1:00.89
1,11.14,1:11.77,6,11.19,1:12.22,2,11.04,1:11.83,7,11.24,1:12.40,3,10.73,1:11.86,4,11.10,1:11.86,5,11.13,1:12.02
2,10.33,1:22.10,4,10.36,1:22.58,5,10.88,1:22.71,6,10.45,1:22.85,1,10.16,1:22.02,7,19.36,1:31.22,3,10.38,1:22.40
2,10.93,1:33.03,4,10.62,1:33.20,5,10.60,1:33.31,6,10.59,1:33.44,1,10.93,1:32.95,7,13.31,1:44.53,3,10.72,1:33.12
2,10.94,1:43.97,4,10.97,1:44.17,5,10.99,1:44.30,6,10.98,1:44.42,1,10.93,1:43.88,7,10.64,1:55.17,3,10.93,1:44.05
3,10.58,1:54.55,4,10.46,1:54.63,6,10.43,1:54.73,1,9.96,1:54.38,2,10.61,1:54.49,7,10.51,2:05.68,5,10.62,1:54.67
5,9.68,2:04.23,2,9.18,2:03.81,4,9.48,2:04.21,1,9.08,2:03.46,3,9.61,2:04.10,7,11.04,2:16.72,6,9.82,2:04.49
5,9.43,2:13.66,2,9.17,2:12.98,4,9.19,2:13.40,1,9.26,2:12.72,3,9.26,2:13.36,7,11.31,2:28.03,6,9.80,2:14.29
4,9.30,2:22.96,2,9.47,2:22.45,3,9.12,2:22.52,1,9.28,2:22.00,5,9.74,2:23.10,7,11.99,2:40.02,6,9.95,2:24.24
2,9.44,2:32.399,3,9.99,2:32.436,0,,PEN,1,9.46,2:31.453,4,9.90,2:32.999,6,12.41,2:52.428,5,10.32,2:34.556
