PIERRE-GILLES Jordan POSITION,PIERRE-GILLES Jordan LAP TIME,PIERRE-GILLES Jordan ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
1,6.81,6.81,2,6.92,6.92,3,7.09,7.09,5,7.41,7.41,4,7.20,7.20
1,8.91,15.72,2,8.88,15.80,3,8.81,15.90,5,9.06,16.47,4,8.83,16.03
2,8.58,24.30,1,8.48,24.28,3,8.54,24.44,5,8.62,25.09,4,8.49,24.52
2,8.69,32.99,1,8.50,32.78,3,8.69,33.13,5,8.68,33.77,4,8.71,33.23
2,8.91,41.90,1,8.53,41.31,3,8.86,41.99,5,8.91,42.68,4,8.78,42.01
