CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
1,7.20,7.20,3,7.46,7.46,2,7.34,7.34,4,7.71,7.71
1,9.25,16.45,3,9.28,16.74,2,9.21,16.55,4,9.37,17.08
2,8.81,25.26,3,8.73,25.47,1,8.69,25.24,4,9.04,26.12
3,9.42,34.68,1,8.97,34.44,2,9.42,34.66,4,9.25,35.37
2,9.36,44.040,1,9.51,43.947,3,9.55,44.208,4,9.60,44.962
