Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Mykyta SOKOLOV POSITION,Mykyta SOKOLOV LAP TIME,Mykyta SOKOLOV ELAPSED TIME
1,8.96,8.96,3,9.28,9.28,5,9.61,9.61,4,9.48,9.48,2,9.07,9.07
1,12.83,21.79,3,12.77,22.05,5,12.68,22.29,4,12.70,22.18,2,12.85,21.92
1,12.03,33.82,3,12.02,34.07,5,12.06,34.35,4,12.05,34.23,2,12.04,33.96
1,11.84,45.66,3,11.83,45.90,4,11.62,45.97,5,11.79,46.02,2,11.80,45.76
1,10.90,56.56,3,10.84,56.74,4,10.81,56.78,5,10.88,56.90,2,10.89,56.65
1,10.06,1:06.62,2,10.00,1:06.74,3,10.07,1:06.85,4,10.07,1:06.97,5,10.40,1:07.05
1,10.05,1:16.67,2,10.04,1:16.78,3,10.04,1:16.89,4,10.05,1:17.02,5,10.07,1:17.12
1,10.12,1:26.79,2,10.12,1:26.90,3,10.10,1:26.99,4,10.09,1:27.11,5,10.09,1:27.21
1,10.04,1:36.83,2,10.06,1:36.96,3,10.07,1:37.06,4,10.06,1:37.17,5,10.07,1:37.28
1,10.02,1:46.85,2,9.98,1:46.94,3,10.00,1:47.06,4,10.01,1:47.18,5,10.01,1:47.29
1,9.75,1:56.60,2,9.76,1:56.70,3,9.76,1:56.82,4,9.77,1:56.95,5,9.81,1:57.10
2,9.34,2:05.94,1,9.18,2:05.88,3,9.40,2:06.22,4,9.34,2:06.29,5,9.48,2:06.58
2,9.08,2:15.02,1,9.05,2:14.93,3,9.26,2:15.48,4,9.38,2:15.67,5,9.56,2:16.14
2,9.29,2:24.302,1,9.35,2:24.277,3,9.50,2:24.972,4,9.71,2:25.376,5,9.64,2:25.773
