Roza KOOYSTRA POSITION,Roza KOOYSTRA LAP TIME,Roza KOOYSTRA ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
2,9.45,9.45,3,9.61,9.61,1,9.21,9.21,6,10.09,10.09,4,9.79,9.79,5,9.94,9.94
2,12.20,21.65,3,12.18,21.79,1,12.28,21.49,6,12.06,22.15,4,12.18,21.97,5,12.15,22.09
2,11.26,32.91,3,11.27,33.06,1,11.28,32.77,6,11.32,33.47,4,11.30,33.27,5,11.27,33.36
2,10.87,43.78,3,10.83,43.89,1,10.94,43.71,4,10.53,44.00,5,10.77,44.04,6,10.80,44.16
2,10.80,54.58,3,10.81,54.70,1,10.75,54.46,5,10.84,54.84,4,10.77,54.81,6,10.74,54.90
2,10.65,1:05.23,3,10.65,1:05.35,1,10.65,1:05.11,6,10.88,1:05.72,4,10.73,1:05.54,5,10.72,1:05.62
2,10.38,1:15.61,3,10.39,1:15.74,1,10.42,1:15.53,6,10.41,1:16.13,4,10.34,1:15.88,5,10.37,1:15.99
2,10.38,1:25.99,3,10.38,1:26.12,1,10.35,1:25.88,6,10.47,1:26.60,4,10.41,1:26.29,5,10.40,1:26.39
2,10.28,1:36.27,3,10.33,1:36.45,1,10.30,1:36.18,6,10.35,1:36.95,4,10.34,1:36.63,5,10.35,1:36.74
2,10.37,1:46.64,4,10.35,1:46.80,1,10.32,1:46.50,6,10.60,1:47.55,3,10.14,1:46.77,5,10.12,1:46.86
3,10.08,1:56.72,5,10.41,1:57.21,4,10.27,1:56.77,6,11.33,1:58.88,1,9.51,1:56.28,2,9.67,1:56.53
3,10.38,2:07.10,5,10.73,2:07.94,4,10.44,2:07.21,6,11.92,2:10.80,1,9.48,2:05.76,2,9.38,2:05.91
3,10.67,2:17.77,5,11.22,2:19.16,4,10.68,2:17.89,6,12.72,2:23.52,1,9.70,2:15.46,2,9.67,2:15.58
3,11.16,2:28.928,5,11.55,2:30.707,4,11.09,2:28.973,6,14.28,2:37.796,1,9.85,2:25.306,2,9.88,2:25.458
