Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
2,12.56,12.56,4,12.90,12.90,3,12.80,12.80,1,12.52,12.52
2,10.20,22.76,4,10.08,22.98,3,10.07,22.87,1,10.13,22.65
3,10.08,32.84,4,10.09,33.07,2,9.96,32.83,1,10.07,32.72
3,9.76,42.60,4,9.66,42.73,2,9.59,42.42,1,9.67,42.39
3,9.35,51.95,4,9.28,52.01,1,9.32,51.74,2,9.45,51.84
4,9.57,1:01.52,1,9.20,1:01.21,2,9.51,1:01.25,3,9.52,1:01.36
4,9.32,1:10.84,1,8.89,1:10.10,2,9.32,1:10.57,3,9.32,1:10.68
4,9.12,1:19.96,1,9.21,1:19.31,2,9.14,1:19.71,3,9.16,1:19.84
4,9.44,1:29.397,1,9.49,1:28.793,2,9.38,1:29.082,3,9.32,1:29.155
