NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME
1,13.56,13.56,2,13.67,13.67,3,13.77,13.77,5,14.09,14.09,6,14.33,,4,13.83,13.83
2,10.36,23.92,1,10.19,23.86,3,10.31,24.08,6,10.29,24.38,5,9.93,,4,10.33,24.16
2,10.23,34.15,1,10.16,34.02,3,10.13,34.21,6,10.05,34.43,4,9.98,,5,10.16,34.32
2,10.17,44.32,1,10.19,44.21,4,10.29,44.50,6,10.33,44.76,3,10.20,,5,10.33,44.65
3,10.28,54.60,2,10.18,54.39,1,9.76,54.26,6,10.04,54.80,5,10.26,,4,10.00,54.65
3,9.89,1:04.49,2,9.91,1:04.30,1,9.92,1:04.18,5,9.90,1:04.70,6,10.58,,4,9.94,1:04.59
3,9.91,1:14.40,2,9.90,1:14.20,1,9.99,1:14.17,5,9.85,1:14.55,6,10.35,,4,9.93,1:14.52
3,9.80,1:24.20,2,9.71,1:23.91,1,9.72,1:23.89,4,9.80,1:24.35,6,10.72,,5,9.93,1:24.45
3,9.68,1:33.880,2,9.80,1:33.719,1,9.77,1:33.662,4,9.65,1:34.009,6,11.38,,5,10.13,1:34.586
