Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Karolina REGUCKA POSITION,Karolina REGUCKA LAP TIME,Karolina REGUCKA ELAPSED TIME
0,9.301,9.301,0,8.969,8.969,0,9.478,9.478,0,9.381,9.381,0,9.729,9.729,0,9.412,9.412
0,12.862,22.162,0,13.374,22.343,0,13.021,22.499,0,13.900,23.281,0,13.001,22.731,0,12.827,22.239
0,12.080,34.243,0,12.037,34.380,0,11.978,34.476,0,11.581,34.862,0,11.854,34.585,0,12.173,34.412
0,11.408,45.650,0,11.535,45.914,0,11.502,45.978,0,10.885,45.746,0,11.016,45.601,0,11.455,45.867
0,10.797,56.447,0,10.593,56.507,0,10.550,56.528,0,10.305,56.051,0,10.621,56.222,0,10.603,56.470
0,10.314,1:06.762,0,10.260,1:06.767,0,10.338,1:06.866,0,10.411,1:06.462,0,10.385,1:06.607,0,10.318,1:06.788
0,10.424,1:17.185,0,10.723,1:17.489,0,21.215,1:28.082,0,10.669,1:17.130,0,10.844,1:17.451,0,10.577,1:17.365
0,10.474,1:27.659,0,10.398,1:27.887,0,,,0,10.504,1:27.634,0,10.450,1:27.901,0,10.843,1:28.208
0,10.170,1:37.829,0,10.152,1:38.039,0,,1:38.197,0,10.296,1:37.929,0,10.275,1:38.175,0,10.638,1:38.846
0,10.452,1:48.281,0,10.362,1:48.400,0,10.508,1:48.706,0,10.359,1:48.289,0,10.322,1:48.497,0,10.753,1:49.599
0,10.229,1:58.509,0,9.737,1:58.138,0,10.071,1:58.777,0,10.154,1:58.443,0,10.214,1:58.711,0,10.932,2:00.530
0,10.126,2:08.635,0,10.098,2:08.235,0,10.043,2:08.820,0,10.151,2:08.594,0,9.963,2:08.673,0,11.639,2:12.169
0,9.898,2:18.534,0,10.045,2:18.281,0,10.043,2:18.862,0,9.991,2:18.585,0,9.613,2:18.287,0,12.423,2:24.592
0,,,0,,,0,,,0,,,0,,,0,,
