Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
1,8.06,8.06,5,8.41,8.41,2,8.11,8.11,4,8.28,8.28,3,8.20,8.20
2,12.46,20.52,5,12.50,20.91,1,12.32,20.43,4,12.47,20.75,3,12.42,20.62
2,12.34,32.86,5,12.22,33.13,1,12.31,32.74,4,12.29,33.04,3,12.32,32.94
3,11.71,44.57,5,11.68,44.81,1,11.71,44.45,4,11.62,44.66,2,11.60,44.54
3,10.92,55.49,5,10.84,55.65,2,10.95,55.40,4,10.91,55.57,1,10.73,55.27
3,10.99,1:06.48,5,11.01,1:06.66,2,10.97,1:06.37,4,10.99,1:06.56,1,10.94,1:06.21
3,10.83,1:17.31,5,10.79,1:17.45,2,10.81,1:17.18,4,10.88,1:17.44,1,10.93,1:17.14
4,9.56,1:26.87,1,9.21,1:26.66,2,9.59,1:26.77,5,9.53,1:26.97,3,9.69,1:26.83
3,9.18,1:36.05,1,9.19,1:35.85,2,9.21,1:35.98,4,9.17,1:36.14,5,9.51,1:36.34
3,9.50,1:45.55,1,9.51,1:45.36,2,9.49,1:45.47,4,9.48,1:45.62,5,9.41,1:45.75
3,9.31,1:54.86,1,9.30,1:54.66,2,9.31,1:54.78,4,9.33,1:54.95,5,9.33,1:55.08
3,9.39,2:04.25,1,9.40,2:04.06,2,9.40,2:04.18,4,9.38,2:04.33,5,9.86,2:04.94
3,9.44,2:13.69,1,9.52,2:13.58,2,9.49,2:13.67,4,9.52,2:13.85,5,10.70,2:15.64
2,9.35,2:23.032,1,9.39,2:22.967,4,9.69,2:23.360,3,9.30,2:23.149,5,11.00,2:26.638
