VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
1,7.14,7.14,2,7.28,7.28,4,7.65,7.65,3,7.49,7.49
1,9.47,16.61,2,9.43,16.71,4,9.52,17.17,3,9.40,16.89
2,9.03,25.64,1,8.93,25.64,4,9.00,26.17,3,8.89,25.78
2,9.33,34.97,1,9.10,34.74,4,9.16,35.33,3,9.37,35.15
2,9.51,44.472,1,9.38,44.117,4,9.42,44.742,3,9.50,44.643
