Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Tamas TUTRAI POSITION,Tamas TUTRAI LAP TIME,Tamas TUTRAI ELAPSED TIME,Matthew WILSON POSITION,Matthew WILSON LAP TIME,Matthew WILSON ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Zbigniew BRODKA POSITION,Zbigniew BRODKA LAP TIME,Zbigniew BRODKA ELAPSED TIME
4,9.902,9.902,2,9.469,9.469,3,9.622,9.622,5,10.158,10.158,6,10.289,10.289,1,9.185,9.185
4,13.292,23.194,2,13.501,22.969,3,13.467,23.089,5,13.129,23.287,6,13.347,23.635,1,13.518,22.703
4,12.876,36.070,2,12.996,35.965,3,12.967,36.055,5,13.181,36.467,6,12.907,36.541,1,13.133,35.835
4,12.968,49.037,3,12.829,48.794,2,12.667,48.722,5,12.833,49.300,6,12.859,49.400,1,12.632,48.467
4,11.957,1:00.994,1,11.835,1:00.628,3,12.090,1:00.812,6,12.025,1:01.324,5,11.841,1:01.240,2,12.200,1:00.667
5,12.231,1:13.224,2,12.232,1:12.859,3,12.062,1:12.873,6,12.072,1:13.396,4,11.796,1:13.036,1,12.038,1:12.704
4,10.595,1:23.819,5,10.969,1:23.827,3,10.943,1:23.816,6,10.630,1:24.026,2,10.613,1:23.649,1,10.758,1:23.462
5,10.556,1:34.374,4,10.445,1:34.272,3,10.419,1:34.234,6,10.360,1:34.385,2,10.356,1:34.005,1,10.511,1:33.973
4,10.212,1:44.586,5,10.520,1:44.792,6,10.569,1:44.802,2,10.068,1:44.452,3,10.511,1:44.516,1,10.477,1:44.450
2,9.955,1:54.541,6,10.238,1:55.029,4,9.838,1:54.639,3,10.117,1:54.569,1,10.017,1:54.532,5,10.286,1:54.736
4,10.253,2:04.793,6,9.932,2:04.961,5,10.177,2:04.816,1,10.053,2:04.621,2,10.111,2:04.643,3,10.043,2:04.778
4,10.003,2:14.795,6,10.223,2:15.184,5,10.052,2:14.867,1,9.884,2:14.504,2,10.021,2:14.663,3,9.952,2:14.730
4,9.864,2:24.659,6,9.815,2:24.998,5,9.891,2:24.758,1,9.533,2:24.037,2,9.513,2:24.176,3,9.800,2:24.529
4,9.92,2:34.573,6,10.05,2:35.044,5,10.28,2:35.034,1,9.40,2:33.435,2,9.79,2:33.961,3,9.92,2:34.440
