SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,LIU Xiao Liang POSITION,LIU Xiao Liang LAP TIME,LIU Xiao Liang ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
4,7.120,7.120,2,6.860,6.860,3,6.860,6.860,1,6.730,6.730
4,9.750,16.870,3,9.890,16.750,1,9.290,16.160,2,9.980,16.720
2,8.900,25.770,4,9.140,25.890,1,8.630,24.790,3,9.100,25.830
2,8.630,34.410,3,8.870,34.760,1,9.040,33.830,4,9.460,35.290
2,8.620,43.030,3,9.570,44.330,1,8.980,42.810,4,9.480,44.770
