Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME
1,6.79,6.79,2,6.98,6.98,3,7.10,7.10,4,7.32,7.32
1,8.84,15.63,2,8.78,15.76,3,8.82,15.92,4,8.76,16.08
1,8.29,23.92,2,8.23,23.99,3,8.18,24.10,4,8.21,24.29
2,8.53,32.45,1,8.43,32.42,3,8.45,32.55,4,8.47,32.76
3,8.95,41.390,1,8.61,41.016,2,8.68,41.216,4,8.72,41.465
