Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME,MO Ming-Jui POSITION,MO Ming-Jui LAP TIME,MO Ming-Jui ELAPSED TIME,DEL MEDICO Vincent POSITION,DEL MEDICO Vincent LAP TIME,DEL MEDICO Vincent ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,SHIJIRBAATAR Shagdar POSITION,SHIJIRBAATAR Shagdar LAP TIME,SHIJIRBAATAR Shagdar ELAPSED TIME
2,8.184,8.184,1,7.364,7.364,3,8.600,8.600,4,8.602,8.602,5,8.828,8.828
2,11.872,20.056,1,11.248,18.611,5,11.769,20.368,4,11.681,20.283,3,11.419,20.246
3,11.814,31.869,1,11.261,29.872,4,11.604,31.972,2,11.470,31.753,5,12.133,32.379
2,11.569,43.437,1,11.053,40.924,4,11.608,43.579,3,11.761,43.513,5,11.454,43.832
2,11.342,54.779,1,11.089,52.012,3,11.428,55.007,4,11.560,55.073,5,11.579,55.411
3,10.977,1:05.756,1,10.815,1:02.827,4,10.829,1:05.835,2,10.660,1:05.732,5,11.977,1:07.388
2,11.089,1:16.844,5,17.388,1:20.214,3,11.115,1:16.950,1,10.436,1:16.168,4,11.388,1:18.775
2,10.754,1:27.597,5,13.579,1:33.793,3,11.085,1:28.035,1,11.429,1:27.596,4,11.939,1:30.713
1,10.762,1:38.359,5,11.725,1:45.517,3,10.600,1:38.634,2,10.815,1:38.411,4,12.257,1:42.969
2,10.569,1:48.928,5,12.335,1:57.852,3,10.554,1:49.188,1,10.331,1:48.741,4,11.735,1:54.703
2,10.011,1:58.938,5,11.915,2:09.766,3,9.948,1:59.135,1,9.899,1:58.639,4,12.295,2:06.998
2,9.756,2:08.694,5,11.997,2:21.763,3,10.026,2:09.160,1,9.906,2:08.545,4,12.181,2:19.178
2,10.014,2:18.708,5,12.023,2:33.785,3,9.930,2:19.090,1,9.656,2:18.200,4,12.033,2:31.211
2,9.90,2:28.606,5,12.17,2:45.949,3,9.94,2:29.023,1,10.10,2:28.200,4,12.64,2:43.848
