SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Avalon AARDOOM POSITION,Avalon AARDOOM LAP TIME,Avalon AARDOOM ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,NOH Ah Rum POSITION,NOH Ah Rum LAP TIME,NOH Ah Rum ELAPSED TIME
3,13.50,13.50,2,13.43,13.43,5,13.71,13.71,4,13.67,13.67,1,13.39,13.39
3,9.60,23.10,2,9.60,23.03,5,9.57,23.28,4,9.53,23.20,1,9.57,22.96
3,9.79,32.89,2,9.73,32.76,4,9.76,33.04,5,9.98,33.18,1,9.79,32.75
3,9.25,42.14,1,9.20,41.96,4,9.21,42.25,5,9.16,42.34,2,9.32,42.07
3,9.47,51.61,1,9.45,51.41,5,9.59,51.84,4,9.40,51.74,2,9.46,51.53
2,9.53,1:01.14,1,9.61,1:01.02,5,9.57,1:01.41,4,9.57,1:01.31,3,9.63,1:01.16
2,9.36,1:10.50,1,9.42,1:10.44,5,9.57,1:10.98,3,9.41,1:10.72,4,9.74,1:10.90
2,9.43,1:19.93,1,9.38,1:19.82,5,9.66,1:20.64,3,9.43,1:20.15,4,9.40,1:20.30
2,9.51,1:29.44,1,9.56,1:29.38,5,9.94,1:30.58,3,9.40,1:29.55,4,9.49,1:29.79
