Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Agnieszka BAWERNA POSITION,Agnieszka BAWERNA LAP TIME,Agnieszka BAWERNA ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME
2,13.77,13.77,3,13.98,13.98,4,14.18,14.18,1,13.54,13.54
2,9.89,23.66,3,9.86,23.84,4,9.73,23.91,1,10.04,23.59
2,9.96,33.63,3,9.89,33.74,4,10.00,33.92,1,9.94,33.53
1,9.57,43.21,2,9.59,43.33,4,9.56,43.48,3,9.85,43.39
1,9.76,52.97,2,9.78,53.11,4,9.95,53.44,3,9.82,53.22
1,9.73,1:02.70,2,9.76,1:02.87,4,10.24,1:03.68,3,9.76,1:02.99
1,9.75,1:12.46,2,9.72,1:12.59,4,11.09,1:14.78,3,9.68,1:12.68
1,9.69,1:22.15,2,9.76,1:22.36,4,11.34,1:26.13,3,9.96,1:22.64
1,10.04,1:32.186,2,10.09,1:32.446,4,11.71,1:37.836,3,10.38,1:33.011
