HWANG Hyun Sun POSITION,HWANG Hyun Sun LAP TIME,HWANG Hyun Sun ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Anne-Sophie DAVREUX POSITION,Anne-Sophie DAVREUX LAP TIME,Anne-Sophie DAVREUX ELAPSED TIME
1,9.39,9.39,5,9.63,9.63,3,9.49,9.49,4,9.62,9.62,2,9.43,9.43
3,12.99,22.38,5,13.04,22.67,4,13.04,22.53,1,12.38,22.00,2,12.69,22.12
3,12.07,34.45,5,12.00,34.67,4,12.02,34.55,1,12.17,34.17,2,12.16,34.28
3,12.26,46.71,5,12.33,47.00,4,12.31,46.86,1,12.17,46.34,2,12.17,46.45
3,11.69,58.40,5,11.61,58.61,4,11.64,58.50,1,11.77,58.11,2,11.76,58.21
3,10.91,1:09.31,5,10.90,1:09.51,4,10.90,1:09.40,1,10.96,1:09.07,2,10.97,1:09.18
3,10.79,1:20.10,5,10.81,1:20.32,4,10.82,1:20.22,1,10.76,1:19.83,2,10.79,1:19.97
3,10.54,1:30.64,5,10.54,1:30.86,4,10.51,1:30.73,1,10.56,1:30.39,2,10.53,1:30.50
3,10.67,1:41.31,5,10.61,1:41.47,4,10.61,1:41.34,1,10.67,1:41.06,2,10.70,1:41.20
3,10.05,1:51.36,4,10.04,1:51.51,1,9.88,1:51.22,2,10.22,1:51.28,5,10.39,1:51.59
3,9.55,2:00.91,4,9.54,2:01.05,1,9.35,2:00.57,2,9.50,2:00.78,5,10.06,2:01.65
3,9.57,2:10.48,4,9.58,2:10.63,1,9.76,2:10.33,2,9.56,2:10.34,5,10.83,2:12.48
1,9.50,2:19.98,3,9.71,2:20.34,2,9.87,2:20.20,5,44.38,2:54.72,4,11.34,2:23.82
1,9.81,2:29.790,3,9.85,2:30.182,2,9.88,2:30.080,5,19.10,3:13.814,4,12.13,2:35.941
