AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
1,9.66,9.66,3,9.98,9.98,6,10.26,10.26,4,10.12,10.12,2,9.83,9.83,5,10.17,10.17
2,12.42,22.08,4,12.31,22.29,5,12.16,22.42,1,11.81,21.93,3,12.35,22.18,6,12.38,22.55
2,11.00,33.08,4,10.86,33.15,6,10.95,33.37,1,11.06,32.99,5,11.00,33.18,2,10.53,33.08
4,10.93,44.01,5,10.91,44.06,6,10.78,44.15,2,10.91,43.90,3,10.74,43.92,1,10.75,43.83
5,10.72,54.73,3,10.45,54.51,6,10.64,54.79,4,10.74,54.64,1,10.38,54.30,2,10.57,54.40
4,10.29,1:05.02,3,10.42,1:04.93,6,10.42,1:05.21,5,10.48,1:05.12,1,10.38,1:04.68,2,10.44,1:04.84
4,10.71,1:15.73,3,10.69,1:15.62,6,10.77,1:15.98,5,10.75,1:15.87,1,10.72,1:15.40,2,10.66,1:15.50
3,10.01,1:25.74,4,10.16,1:25.78,6,10.14,1:26.12,5,10.11,1:25.98,2,10.25,1:25.65,1,10.12,1:25.62
1,9.30,1:35.04,4,9.67,1:35.45,6,9.62,1:35.74,5,9.55,1:35.53,3,9.64,1:35.29,2,9.57,1:35.19
1,9.61,1:44.65,4,9.44,1:44.89,6,9.68,1:45.42,5,9.37,1:44.90,3,9.52,1:44.81,2,9.54,1:44.73
1,9.53,1:54.18,5,10.16,1:55.05,6,9.94,1:55.36,3,9.80,1:54.70,3,9.89,1:54.70,2,9.67,1:54.40
1,9.27,2:03.45,5,10.28,2:05.33,6,10.12,2:05.48,3,9.68,2:04.38,4,9.97,2:04.67,2,9.26,2:03.66
1,9.26,2:12.71,5,10.23,2:15.56,6,10.49,2:15.97,3,9.87,2:14.25,4,10.39,2:15.06,2,9.17,2:12.83
1,9.42,2:22.13,5,10.40,2:25.96,6,11.24,2:27.21,3,9.95,2:24.20,4,10.82,2:25.88,2,9.35,2:22.18
