Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME
3,14.63,14.63,2,14.50,14.50,4,14.81,14.81,5,14.92,14.92,1,14.39,14.39
3,11.40,26.03,2,11.44,25.94,4,11.29,26.10,5,11.31,26.23,1,11.41,25.80
3,10.79,36.82,2,10.74,36.68,4,10.81,36.91,5,10.75,36.98,1,10.87,36.67
2,9.88,46.70,1,9.96,46.64,4,9.96,46.87,5,10.09,47.07,3,10.06,46.73
2,10.10,56.80,1,10.06,56.70,3,10.01,56.88,5,10.03,57.10,4,10.20,56.93
3,9.85,1:06.65,1,9.74,1:06.44,2,9.65,1:06.53,4,9.69,1:06.79,5,9.89,1:06.82
2,9.40,1:16.05,3,9.66,1:16.10,1,9.34,1:15.87,5,18.25,1:25.04,4,9.84,1:16.66
3,9.25,1:25.30,2,9.17,1:25.27,1,9.29,1:25.16,5,18.15,1:43.19,4,10.10,1:26.76
3,9.30,1:34.595,2,9.20,1:34.463,1,9.25,1:34.405,5,13.27,1:56.460,4,10.43,1:37.182
