LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
2,9.57,9.57,3,9.69,9.69,4,9.88,9.88,5,10.05,10.05,1,9.51,9.51
2,13.01,22.58,3,12.99,22.68,4,12.96,22.84,5,12.94,22.99,1,12.96,22.47
2,11.94,34.52,4,12.06,34.74,3,11.84,34.68,5,11.93,34.92,1,11.96,34.43
2,11.47,45.99,4,11.50,46.24,3,11.49,46.17,5,11.52,46.44,1,11.47,45.90
2,10.99,56.98,3,10.83,57.07,4,10.91,57.08,5,10.89,57.33,1,10.97,56.87
2,10.19,1:07.17,4,10.27,1:07.34,3,10.20,1:07.28,5,10.04,1:07.37,1,10.16,1:07.03
3,9.69,1:16.86,5,9.80,1:17.14,2,9.50,1:16.78,4,9.67,1:17.04,1,9.63,1:16.66
3,9.23,1:26.09,5,9.17,1:26.31,1,9.09,1:25.87,4,9.16,1:26.20,2,9.34,1:26.00
3,9.25,1:35.34,5,9.18,1:35.49,2,9.37,1:35.24,4,9.19,1:35.39,1,9.14,1:35.14
3,9.23,1:44.57,5,9.29,1:44.78,2,9.23,1:44.47,4,9.31,1:44.70,1,9.23,1:44.37
3,9.07,1:53.64,5,9.11,1:53.89,2,9.13,1:53.60,4,9.07,1:53.77,1,9.14,1:53.51
3,8.99,2:02.63,5,9.05,2:02.94,1,8.90,2:02.50,4,9.04,2:02.81,2,9.10,2:02.61
3,9.02,2:11.65,5,9.01,2:11.95,1,9.04,2:11.54,4,8.99,2:11.80,2,9.04,2:11.65
1,8.99,2:20.636,5,9.25,2:21.199,2,9.14,2:20.678,4,9.14,2:20.933,3,9.13,2:20.779
