John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,JUNG Jun Ho POSITION,JUNG Jun Ho LAP TIME,JUNG Jun Ho ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME
2,13.42,13.42,1,13.38,13.38,4,13.72,13.72,3,13.56,13.56
1,10.42,23.84,2,10.59,23.97,4,10.43,24.15,3,10.51,24.07
2,10.53,34.37,3,10.41,34.38,4,10.42,34.57,1,10.22,34.29
3,9.87,44.24,2,9.79,44.17,4,9.84,44.41,1,9.76,44.05
3,9.70,53.94,2,9.64,53.81,4,9.71,54.12,1,9.66,53.71
3,9.82,1:03.76,2,9.85,1:03.66,4,9.76,1:03.88,1,9.83,1:03.54
3,9.08,1:12.84,2,9.05,1:12.71,4,9.03,1:12.91,1,9.08,1:12.62
3,9.53,1:22.37,2,9.57,1:22.28,4,9.59,1:22.50,1,9.56,1:22.18
3,9.33,1:31.696,2,9.34,1:31.613,4,9.45,1:31.941,1,9.35,1:31.530
