Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME
4,13.39,13.39,2,12.89,12.89,3,13.15,13.15,1,12.80,12.80
4,9.57,22.96,2,9.76,22.65,3,9.60,22.75,1,9.71,22.51
4,9.64,32.60,2,9.77,32.42,3,9.77,32.52,1,9.79,32.30
4,9.89,42.49,2,9.85,42.27,3,9.83,42.35,1,9.86,42.16
4,9.92,52.41,2,9.96,52.23,3,9.97,52.32,1,9.95,52.11
4,9.85,1:02.26,1,9.69,1:01.92,3,9.79,1:02.11,2,9.99,1:02.10
3,9.69,1:11.95,1,9.73,1:11.65,2,9.64,1:11.75,4,9.99,1:12.09
3,9.99,1:21.94,1,9.74,1:21.39,2,9.76,1:21.51,4,10.15,1:22.24
3,10.08,1:32.019,1,9.73,1:31.118,2,9.72,1:31.225,4,10.06,1:32.297
