Beata PODWYSOCKA POSITION,Beata PODWYSOCKA LAP TIME,Beata PODWYSOCKA ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Natalia PLUGINA POSITION,Natalia PLUGINA LAP TIME,Natalia PLUGINA ELAPSED TIME,Emma COXON-SMITH POSITION,Emma COXON-SMITH LAP TIME,Emma COXON-SMITH ELAPSED TIME
1,8.67,8.67,2,8.69,8.69,4,9.06,9.06,3,8.97,8.97,5,9.31,9.31
2,12.83,21.51,3,12.87,21.57,4,12.79,21.85,1,12.42,21.39,5,12.56,21.88
3,13.17,34.68,2,13.03,34.60,4,13.09,34.95,1,13.11,34.50,5,13.22,35.11
2,13.39,48.07,3,13.50,48.11,4,13.42,48.38,1,13.41,47.91,5,13.41,48.52
3,13.05,1:01.13,2,12.95,1:01.07,4,13.03,1:01.41,1,13.15,1:01.07,5,13.04,1:01.56
2,11.34,1:12.47,4,11.58,1:12.65,1,10.97,1:12.39,3,11.42,1:12.49,5,11.21,1:12.77
1,10.43,1:22.91,4,10.49,1:23.14,3,10.72,1:23.11,2,10.60,1:23.10,5,10.62,1:23.40
1,10.43,1:33.34,4,10.43,1:33.57,2,10.32,1:33.44,3,10.37,1:33.47,5,10.55,1:33.96
2,10.57,1:43.92,1,9.93,1:43.51,3,10.64,1:44.09,4,10.87,1:44.34,5,10.79,1:44.75
3,10.55,1:54.47,1,10.01,1:53.53,2,10.02,1:54.11,4,10.41,1:54.75,5,11.32,1:56.08
3,10.27,2:04.74,1,10.40,2:03.93,2,10.25,2:04.36,4,10.13,2:04.88,5,12.49,2:08.57
4,10.69,2:15.44,1,10.80,2:14.74,2,10.57,2:14.94,3,10.55,2:15.44,5,12.96,2:21.54
4,11.47,2:26.92,1,10.33,2:25.07,2,10.49,2:25.43,3,10.88,2:26.32,5,13.31,2:34.85
4,12.55,2:39.466,1,10.66,2:35.730,2,10.64,2:36.062,3,11.53,2:37.847,5,13.66,2:48.504
