ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
2,7.07,7.07,1,6.85,6.85,5,7.70,7.70,3,7.17,7.17,4,7.30,7.30
3,9.12,16.19,1,8.89,15.74,5,9.59,17.29,2,8.81,15.98,4,8.94,16.24
4,9.04,25.23,1,8.54,24.28,5,9.22,26.51,2,8.50,24.48,3,8.66,24.90
4,9.38,34.61,1,8.66,32.94,5,9.39,35.90,2,8.52,33.00,3,8.73,33.63
4,9.67,44.267,2,8.98,41.914,5,9.62,45.505,1,8.78,41.771,3,8.89,42.512
