Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
3,6.84,6.84,1,6.75,6.75,2,6.78,6.78
1,9.07,15.91,3,9.35,16.11,2,9.27,16.05
1,8.60,24.51,2,8.46,24.57,3,8.51,24.57
1,8.59,33.10,2,8.59,33.17,3,8.99,33.56
1,8.76,41.852,2,8.90,42.066,3,9.48,43.032
