PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
1,8.56,8.56,2,8.76,8.76,5,9.32,9.32,4,9.21,9.21,6,9.55,9.55,3,9.07,9.07
2,12.71,21.27,1,12.47,21.23,3,12.04,21.36,5,12.48,21.69,6,12.26,21.81,4,12.48,21.55
2,11.64,32.91,1,11.58,32.81,3,11.68,33.04,5,11.60,33.29,6,11.57,33.38,4,11.61,33.16
2,12.44,45.35,1,12.41,45.22,3,12.51,45.55,5,12.51,45.80,6,12.54,45.92,4,12.51,45.67
2,12.66,58.01,1,12.71,57.93,3,12.58,58.13,5,12.61,58.41,6,12.60,58.52,4,12.58,58.25
1,11.83,1:09.84,2,11.93,1:09.86,4,12.04,1:10.17,3,11.54,1:09.95,6,11.82,1:10.34,5,12.07,1:10.32
1,10.12,1:19.96,4,10.25,1:20.11,5,10.02,1:20.19,3,10.07,1:20.02,2,9.67,1:20.01,6,10.01,1:20.33
2,9.68,1:29.64,4,9.87,1:29.98,5,9.87,1:30.06,3,9.81,1:29.83,1,9.54,1:29.55,6,10.01,1:30.34
2,10.02,1:39.66,4,9.83,1:39.81,5,9.86,1:39.92,3,9.84,1:39.67,1,10.05,1:39.60,6,9.69,1:40.03
2,9.92,1:49.58,4,10.03,1:49.84,5,10.08,1:50.00,3,10.01,1:49.68,1,9.94,1:49.54,6,10.08,1:50.11
2,9.82,1:59.40,4,9.77,1:59.61,5,9.98,1:59.98,3,9.80,1:59.48,1,9.75,1:59.29,6,10.03,2:00.14
2,9.86,2:09.26,4,9.85,2:09.46,5,9.93,2:09.91,3,9.87,2:09.35,1,9.85,2:09.14,6,10.17,2:10.31
3,10.07,2:19.33,4,9.94,2:19.40,5,10.54,2:20.45,2,9.92,2:19.27,1,10.04,2:19.18,6,10.71,2:21.02
3,10.56,2:29.889,2,10.09,2:29.484,4,11.39,2:31.833,1,10.05,2:29.316,0,,PEN,5,11.38,2:32.399
