Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Michele ANTONIOLI POSITION,Michele ANTONIOLI LAP TIME,Michele ANTONIOLI ELAPSED TIME
1,6.598,6.598,2,6.836,6.836,3,6.881,6.881,4,7.221,7.221
1,9.318,15.916,3,9.330,16.165,2,9.281,16.161,4,9.057,16.277
2,8.868,24.783,4,9.114,25.279,1,8.610,24.771,3,8.874,25.151
4,9.628,34.411,3,9.085,34.363,2,9.412,34.182,1,8.995,34.145
3,9.96,44.364,2,9.28,43.639,0,,DQ,1,9.40,43.538
