Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME
1,8.57,8.57,2,8.70,8.70,3,8.84,8.84,5,9.21,9.21,7,9.33,9.33,4,8.99,8.99,6,9.24,9.24
1,12.26,20.83,3,12.29,20.99,2,12.08,20.92,6,12.20,21.41,7,12.23,21.56,4,12.14,21.13,5,12.02,21.26
1,10.70,31.53,3,10.77,31.76,2,10.65,31.57,6,10.88,32.29,7,10.82,32.38,4,10.75,31.88,5,10.75,32.01
2,10.52,42.05,3,10.38,42.14,1,10.29,41.86,5,10.02,42.31,7,10.17,42.55,4,10.38,42.26,6,10.35,42.36
2,10.50,52.55,3,10.54,52.68,1,10.56,52.42,5,10.60,52.91,6,10.48,53.03,4,10.55,52.81,7,10.78,53.14
2,10.40,1:02.95,3,10.37,1:03.05,1,10.43,1:02.85,5,10.35,1:03.26,6,10.33,1:03.36,4,10.33,1:03.14,7,10.28,1:03.42
3,10.36,1:13.31,2,10.13,1:13.18,1,10.19,1:13.04,4,10.19,1:13.45,5,10.21,1:13.57,6,10.46,1:13.60,7,10.25,1:13.67
7,19.32,1:32.63,3,9.73,1:22.91,1,9.68,1:22.72,2,9.44,1:22.89,4,9.48,1:23.05,6,9.74,1:23.34,5,9.53,1:23.20
7,24.87,1:57.50,3,9.53,1:32.44,1,9.48,1:32.20,2,9.44,1:32.33,4,9.49,1:32.54,6,9.44,1:32.78,5,9.48,1:32.68
7,14.50,2:12.00,3,9.45,1:41.89,1,9.43,1:41.63,2,9.46,1:41.79,4,9.44,1:41.98,6,9.50,1:42.28,5,9.45,1:42.13
7,11.28,2:23.28,3,9.39,1:51.28,1,9.54,1:51.17,1,9.38,1:51.17,4,9.40,1:51.38,6,9.57,1:51.85,5,9.57,1:51.70
7,10.09,2:33.37,4,9.74,2:01.02,3,9.76,2:00.93,1,9.35,2:00.52,2,9.21,2:00.59,6,9.98,2:01.83,5,9.96,2:01.66
7,9.73,2:43.10,3,9.50,2:10.52,4,10.04,2:10.97,1,9.38,2:09.90,2,9.39,2:09.98,6,10.35,2:12.18,5,10.48,2:12.14
7,10.08,2:53.159,3,9.32,2:19.84,4,10.53,2:21.477,1,9.82,2:19.72,2,9.79,2:19.77,5,10.60,2:22.772,6,11.23,2:23.348
