Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
1,12.45,12.45,2,12.57,12.57,3,12.65,12.65,4,12.79,12.79
1,9.40,21.85,3,9.39,21.96,2,9.28,21.93,4,9.36,22.15
2,8.95,30.80,1,8.75,30.71,3,9.00,30.93,4,8.87,31.02
2,8.78,39.58,1,8.82,39.53,4,8.90,39.83,3,8.67,39.69
1,8.75,48.33,2,8.88,48.41,4,8.75,48.58,3,8.81,48.50
1,8.97,57.30,2,8.94,57.35,4,8.99,57.57,3,8.96,57.46
1,8.94,1:06.24,3,9.08,1:06.43,3,8.86,1:06.43,2,8.87,1:06.33
1,9.00,1:15.24,4,9.18,1:15.61,3,9.00,1:15.43,2,9.01,1:15.34
1,9.04,1:24.28,4,9.03,1:24.64,3,8.99,1:24.42,2,9.04,1:24.38
