SHIN Sae-Bom POSITION,SHIN Sae-Bom LAP TIME,SHIN Sae-Bom ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME
2,15.97,15.97,3,16.03,16.03,1,15.82,15.82,4,16.23,16.23
3,11.67,27.64,1,11.54,27.58,2,11.76,27.59,4,11.48,27.71
3,10.29,37.93,1,9.96,37.54,2,10.31,37.90,4,10.31,38.03
4,10.18,48.12,1,10.17,47.72,2,10.01,47.92,3,10.04,48.07
2,9.79,57.91,1,9.97,57.70,3,10.07,57.99,4,9.93,58.00
2,9.70,1:07.61,1,9.80,1:07.50,4,9.84,1:07.84,3,9.83,1:07.83
1,9.87,1:17.49,2,10.03,1:17.54,3,10.06,1:17.90,4,10.08,1:17.92
1,9.67,1:27.16,2,9.88,1:27.42,4,10.16,1:28.06,3,10.10,1:28.02
1,9.76,1:36.920,2,10.18,1:37.591,4,10.45,1:38.510,3,10.23,1:38.248
