Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
4,13.17,13.17,3,13.06,13.06,1,12.98,12.98,2,13.00,13.00
4,9.79,22.96,3,9.79,22.85,2,9.77,22.75,1,9.61,22.61
4,9.88,32.84,2,9.81,32.66,3,9.97,32.72,1,10.01,32.62
4,9.98,42.82,2,9.98,42.64,3,10.03,42.75,1,9.89,42.51
4,10.16,52.98,1,10.05,52.69,3,10.09,52.84,2,10.20,52.71
2,9.41,1:02.39,1,9.55,1:02.24,3,10.19,1:03.03,4,10.63,1:03.34
2,9.70,1:12.09,1,9.76,1:12.00,3,10.78,1:13.81,4,11.01,1:14.35
2,9.83,1:21.92,1,9.79,1:21.79,4,11.33,1:25.14,3,10.79,1:25.14
2,9.81,1:31.725,1,9.77,1:31.559,0,,DQ,3,11.20,1:36.331
