Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
3,13.72,13.72,4,13.86,13.86,2,13.70,13.70,1,13.62,13.62
3,10.96,24.68,1,10.64,24.50,4,11.03,24.73,2,10.95,24.57
3,10.58,35.26,1,10.55,35.05,4,10.74,35.47,2,10.58,35.15
3,10.56,45.82,2,10.60,45.65,4,10.55,46.02,1,10.48,45.63
3,9.72,55.54,2,9.76,55.41,4,9.57,55.59,1,9.66,55.29
4,9.44,1:04.98,2,9.31,1:04.72,3,9.25,1:04.84,1,9.34,1:04.63
4,9.24,1:14.22,2,9.29,1:14.01,3,9.28,1:14.12,1,9.32,1:13.95
4,9.30,1:23.52,2,9.34,1:23.35,3,9.25,1:23.37,1,9.38,1:23.33
2,9.44,1:32.955,4,39.98,2:03.326,1,9.22,1:32.581,3,10.09,1:33.419
